X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
6.211937328453008611e+00,-8.460319737680013219e-01,3.440582183651081039e+00,3.861268703094435484e+00,3.018967610773419796e+00,4.635491020704584741e+00,3.076312210909715184e+00,3.830269887144274410e+00
1.640904986887725403e-01,-1.004767211644628899e+00,5.152512476943265973e+00,-4.430501005019629561e-03,3.132554224288245592e+00,3.021164320650733259e+00,3.102393995039177454e+00,3.229296135475124174e+00
2.254578338467903897e+00,7.332458394354279818e+00,5.299128610877641421e+00,3.311167635923840002e+00,3.140140302298036978e+00,3.082674327512678225e+00,6.278080540107301211e+00,2.538328449273396181e+00
4.653071412132575801e+00,7.817355985604143243e+00,6.987764580125618297e-01,-6.245923002889669506e-01,3.099419237946587469e+00,2.739311000667663087e+00,4.747806499684900317e+00,3.022904372244517468e+00
3.724623881598891906e+00,4.240481087145567152e+00,5.601957385227483321e+00,6.646648975086467459e+00,4.697481998600480324e+00,9.848710611486997113e-01,5.772949439349395639e+00,4.169643418802321477e+00
1.309113858734740843e+00,6.838498201953187028e-01,3.490823386388576477e+00,-3.188107504617739840e-01,3.178072797463673549e+00,2.943393053212699062e+00,3.369143725421622548e+00,5.788567550062854394e+00
3.393271989648127818e+00,6.170750746329007885e-01,1.838898377553051855e+00,2.380325395388344756e+00,3.139677705601064961e+00,3.179110524521955750e+00,6.270867451863793463e+00,3.154948546764522632e+00
6.261151139343052563e+00,2.098042221562387954e+00,4.569884498188783617e+00,2.843816917273964240e+00,5.791387378889932158e+00,3.111473177882889019e+00,3.843929879405310057e-01,6.191770663233267413e+00
-4.955610530766021982e-01,-1.740015850358636595e-01,4.291306255457436158e+00,6.249801127263665990e+00,4.551016109856337089e+00,2.890396058494766329e+00,2.446089122896291101e+00,6.196148841086967174e+00
6.538400744755503702e+00,6.616322656040318329e+00,2.957981277930938457e+00,2.644570917433597845e+00,3.345442834619679839e+00,3.876973722250728116e+00,4.557629406058023136e+00,4.106685756584839420e-02
1.761842819239908486e+00,-4.205374529302617348e-01,1.860376324191804320e+00,-2.371754801875170238e-01,1.834499716666523561e+00,2.200326038906360804e+00,9.330311656352143768e-01,1.451560591929580701e-01
8.744823781269602136e+00,-2.248727653377204094e-02,6.440307897428720896e-01,-1.046279944261777839e+00,3.202782002424835017e+00,5.906761363719291502e+00,1.664649877456957083e-01,6.254980568157008314e+00
6.470293085267688760e+00,1.946821812703680932e+00,1.326213283664053888e+00,7.676128312054273373e+00,1.504608495729457818e-01,3.190440145055584154e+00,5.631120836161061405e+00,5.508761199801203823e+00
-1.752340133845796011e+00,-2.726026254169194168e-02,5.247978660504172943e+00,2.956036639759376250e+00,2.271168748360297140e+00,1.264348114565339021e+00,3.254429538332863192e+00,1.550619800752025546e-01
4.752359103686543129e+00,-6.000858985040373461e-02,1.458211978536514630e+00,6.795730040706859043e+00,3.461943386333877548e+00,5.817833245148525734e+00,4.765103018951579728e-01,6.247300443998299535e+00
7.122294786736985905e+00,5.586410219451906300e+00,1.118612897666124484e+00,7.674148213140340680e+00,4.023445975906868810e+00,1.435719851773962497e-01,3.953666251768194612e-03,5.957265777788886219e+00
6.366821965974598818e+00,3.763909481301733084e+00,6.203303674611708729e+00,7.527266178692535448e+00,1.084524775996314583e+00,4.892502368838538285e-01,8.726451103733790307e-03,2.689736205364209098e+00
6.397043600266334451e+00,2.538172659634015282e+00,6.148811773754523813e+00,6.682067546474616648e+00,6.150967246708308522e+00,1.806097397842059804e+00,6.245784204833311648e+00,1.636120070802455695e+00
5.395752014027274335e+00,2.573045462558372076e-01,6.279190587336795026e+00,6.417107695814912915e+00,3.631735974801646172e-02,6.116176374774955349e+00,2.693130112497598705e-01,5.400572310490233674e-01
4.456346859552606961e-03,6.277847562632957512e+00,6.077638162191397520e+00,6.301479625322530254e+00,4.137797207468550990e-05,4.734461743091670782e-01,4.869732559652783510e-01,1.818246215103957564e+00
6.240259776030320005e+00,3.321222063973535032e+00,6.291138117850102240e+00,-1.464581416849307892e-02,6.283080710982205552e+00,5.943121352844464411e+00,3.142410597958341878e+00,3.433492279953990423e+00
5.983272974121593535e+00,4.133784277008139441e+00,-7.771367223186312345e-02,6.244694110536598508e+00,4.497349837194295041e+00,3.424459224711448702e+00,3.230259403655038941e+00,3.203967529900307643e+00
4.333073951006887192e+00,5.867603780907880484e+00,2.366942880172124772e-03,6.033616898573264997e+00,6.104747695564265442e+00,5.820158203738234448e+00,3.248649882301031244e+00,2.904748337845556083e+00
5.137620490469792855e+00,5.612770559786239843e+00,6.296618631453218207e+00,-2.770654129438160682e-05,5.061568707199100459e+00,4.697203160844095393e+00,3.205784030886953850e+00,5.910594747363352219e+00
4.203424931350505211e+00,5.091780206902789097e+00,-1.067851513091975244e-03,6.278574942967132699e+00,5.745272818821288929e+00,1.459451542236561705e-01,3.145125476007043286e+00,3.140292304591063566e+00
