3.869268468953636297e+00,6.319300961230117863e+00,1.847494866294399962e+00,1.008711532416677548e+00,5.677798433058692945e-02,9.604316862405010147e-01,-1.518166451057524624e-01,7.108370232813979506e+00
-1.115405069918961933e+00,5.592940072632901938e+00,1.087892705736680510e+00,6.044760427519919155e+00,4.103705639669946059e+00,4.888130924036419245e+00,3.131908416995031086e+00,3.954413777477754355e+00
6.538842418381107358e+00,5.723289394816956310e+00,1.614171999334395258e+00,2.993595063883016216e+00,9.161626656902057686e-01,-9.934369681847619871e-02,4.272755402718974693e+00,7.222418726975236680e+00
4.116442532384070319e+00,5.435461968109965625e+00,2.897254088352902102e+00,4.179480430740722063e+00,5.120343576537643493e+00,1.379356391773570945e+00,5.164367477098799064e+00,3.137093074752351995e+00
8.229745521800132524e-01,-2.467440448160725802e-02,-1.338023789738559122e-01,4.435315672159973133e+00,5.090721043249467392e+00,-1.298752865690772952e-02,4.628664716009811109e+00,3.139025133432395531e+00
4.061554216581101606e+00,3.255749384340441033e+00,2.597653024989715842e+00,6.073035675812755940e+00,4.135937038031327617e+00,3.176755822908034155e+00,1.466607842793899330e+00,4.633890577292848256e+00
1.531588356429779418e+00,-5.140578524402289462e-01,1.601340293649054169e+00,4.158175994969318445e+00,2.011763994421886803e+00,-7.114886906573111847e-02,1.355978457306442397e+00,7.395935082174256436e-01
3.121790156835001717e+00,3.765924245988417907e-01,3.692360624093842143e-03,1.335887096359296144e+00,4.599915414926105228e+00,4.656552493313039776e+00,2.335406296143264712e-02,4.621346883329559674e+00
6.130619790565984495e+00,5.176656981878100972e+00,6.413770851599545963e+00,4.065906997037162185e+00,3.389987483827088810e-01,1.204211193396937718e+00,5.550583172251915443e+00,1.696612706388731295e+00
3.786403982366753240e+00,2.200485941480180951e+00,5.557353892574767862e+00,3.526564109928534307e+00,3.513994281547853760e+00,2.708661650580837410e+00,6.623155710018425957e+00,4.185747923758294853e+00
-2.066880521153393047e-01,6.314063649268097933e+00,3.096321935713912676e+00,2.580610594654602519e+00,7.182731093752935614e+00,3.248884051731478539e+00,4.016599377314848063e+00,3.335342773595742827e+00
6.303547533819292781e+00,1.633511476055942158e+00,2.798747192101501469e+00,2.276941999406048911e+00,7.234639936434554386e+00,3.510561211919127622e+00,4.149085697201285505e+00,3.804667574043248734e+00
6.475634468758848072e+00,1.828465342355582779e+00,1.133155988384442869e+00,3.650115569765858936e+00,1.446630618528817802e+00,2.864445178472665887e+00,3.038765274857309073e+00,5.136110234361757065e-01
-1.067806354148017889e-01,3.184385848925497253e+00,1.216183522386242277e+00,3.588845023926734878e+00,3.058639447540988154e+00,1.389545570249719919e+00,-1.214627855452957039e+00,7.132502973873119601e+00
7.545158282344680556e-01,9.187346827856489595e-01,5.022573689703619948e+00,5.099690657620506329e+00,6.368235414389481264e+00,2.686300317066271648e-02,4.745083286295093572e+00,9.869045117076631346e-01
-5.187657725873899839e-01,5.611057200120295185e+00,6.897108196496058774e+00,5.722228970117221536e+00,3.405900482343527269e+00,4.467550151420329185e-01,3.199584341372460727e+00,2.642530992576121118e+00
-5.608011325198861315e-03,5.048352672195457913e+00,4.340258515455757582e+00,-1.162938302226269871e-01,2.666218865016586115e+00,1.634197503605562485e+00,2.992540494231374026e+00,1.203706422419179300e-01
4.276246927664661968e+00,1.351161841189257862e+00,2.840167749911405970e+00,6.022646160113489522e+00,4.259911083545319777e+00,3.091379270337938134e+00,3.256726906688412804e+00,5.271258629262933759e+00
-2.104848603400797380e-01,3.184802187288086284e+00,5.758030934161566528e+00,6.032287174461082202e+00,4.071798596871547993e+00,7.180869027397477344e-01,2.893457320257840415e+00,3.441380704287379633e+00
6.314325055257549835e+00,9.923124586539262548e-01,1.603532729894793452e+00,1.408835277657690677e+00,6.377090596234608055e-02,2.352949698568548159e-02,3.815837225678415656e+00,5.246008467791663854e+00
5.222014972382606146e+00,2.356379172702931957e+00,1.439464129959604932e+00,3.258071247796919589e+00,2.480204065448734507e+00,6.243452645443850813e+00,7.725386622264637237e-01,1.541237628214192190e+00
1.734116589510966144e-01,1.510171314572049228e+00,6.192389545889376734e+00,2.800204110058434726e+00,1.246606598940911192e+00,2.360557441456176075e+00,5.364933162530605593e+00,3.673224356390649703e+00
2.085995623065402427e+00,5.103815853404659819e+00,4.675276981772761964e+00,-3.779660730559874504e-01,2.237183252992549498e+00,5.876111893627152583e+00,3.723165485721815049e+00,3.901692389174480358e+00
6.958141003624423782e+00,3.801409280649584055e+00,5.164357763506428611e+00,3.755187667547404740e+00,3.134622969249194480e+00,1.732324852654367753e+00,6.318775994865961643e+00,3.187099453882140221e+00
4.869492228748691254e+00,3.145399370964844010e+00,6.606672897090859919e+00,3.973707611258678885e+00,3.010508356807719110e+00,-2.041011602817212611e-01,-2.816198947029225231e-03,3.593870962364027921e+00
4.513433718851577403e+00,5.219578375690473671e+00,3.888933834954827251e+00,4.545695752028830583e+00,5.893470585466773493e+00,3.091649132142474610e+00,1.887821395034458893e+00,4.310208516387821653e+00
3.126774518408489634e+00,3.327629731736311047e+00,5.112132437678154950e+00,1.428472874654268254e-01,6.324341966844483132e+00,5.997148619831190075e+00,6.404079298681764953e+00,2.060408406750455779e+00
6.804635575697078664e+00,6.024245078718803548e+00,3.717982390660579561e+00,6.323819261109753675e+00,3.092392151173758652e+00,1.933917368357148669e+00,2.965085568216550449e+00,6.691711573065265206e+00
2.662456900797172121e+00,2.348311948287609141e+00,2.220949842395157359e-01,4.857815869949690502e+00,1.971376402823314944e+00,1.786211800436913633e+00,1.884137010808037083e+00,3.539254621885442043e-01
5.269490145190931507e+00,4.859502215160848237e+00,6.277008130407890185e+00,1.249033492360855258e+00,2.821551072558740270e+00,5.255893199640452096e+00,-4.444899164575702444e-01,3.606765087927079172e+00
3.831375351949514840e+00,4.436537185465009081e+00,4.541492314497492799e+00,1.545724281810282097e+00,5.969380732267400624e+00,4.128906191039553697e+00,1.395321689958678446e+00,6.450257491325158909e+00
1.559344117508717265e+00,-3.522368276691464350e-01,4.364625853234700870e+00,3.205202451283382548e+00,4.327930127580049025e+00,4.780954881784899690e+00,-7.653147213670756788e-01,2.563514962132780628e+00
3.452036496280636690e+00,1.649962534917928103e+00,3.432950502847830432e+00,5.958956752407876145e+00,3.242478415412562320e+00,4.754449673833043732e+00,1.195587757363013370e+00,2.232990890706647580e+00
1.964019772353630788e+00,4.373764638228745838e+00,6.699262946447436251e-01,3.806250983490343742e+00,7.126993711183108537e+00,5.168270378447494373e+00,3.391110538182164902e+00,5.430916183337521908e-01
5.080914926366998152e+00,1.899776368703796736e+00,9.200818757472625231e-01,5.356497076425180914e+00,1.372303776936661501e+00,1.366387512688173711e+00,3.483724392126412717e+00,3.211679699916913489e+00
4.879780930016937468e+00,5.187448575247834093e+00,2.031851127257902512e+00,-6.974586700078947571e-03,2.652148237980513024e+00,4.812788519087547456e+00,2.246460281023043848e+00,1.915351071075371836e-01
2.854287178026607030e+00,6.250954253944510874e+00,4.086858033474274343e+00,1.455122376304016418e+00,2.997691585463875708e+00,1.154418634203697308e-02,5.229073566756567537e+00,2.490020237710468098e+00
3.158206945898677009e+00,6.264178983425249037e+00,2.407945128985122363e+00,3.132098475038634255e+00,8.105566481450202643e-01,3.720674326135430920e+00,3.841972748666565352e+00,4.987624953772519909e+00
4.201173404454902283e+00,-1.683834270536286801e-02,2.326742075590088721e+00,2.168811412214660006e+00,3.212466653381107484e+00,3.131653012677357295e-01,4.694074491037905972e+00,-5.701098514267346519e-03
4.843574937080641352e-01,4.689398864041736559e+00,2.962030706544056535e+00,-8.389857016670347958e-03,3.701103606897311327e+00,3.216383512968195468e+00,2.054768774370982598e+00,5.430928606795873748e+00
