1.657305837314424934e+00,2.875945161646916493e+00,3.141592653586210204e+00,4.712388980383247272e+00
2.177575102888751779e+00,3.121005407095477580e+00,1.494495268067614901e+00,1.570796326802272214e+00
6.407462357960753252e+00,3.445697741784345514e+00,4.697812370552466810e+00,4.712388980382892001e+00
9.216882655691641446e+00,-1.341454395353537388e+00,1.554827045766775440e+00,-1.570796326809810406e+00
4.993662513477964637e+00,-2.150850700810175709e-01,4.696023541892863307e+00,4.712388980402788086e+00
4.943426116463442987e+00,6.346812828715998833e+00,4.719750662903832605e+00,1.570796326802500920e+00
4.045039951845430082e+00,6.662064493847821289e+00,1.572734750813430837e+00,1.570796326786617847e+00
2.343693733737783447e+00,8.167151236252811586e+00,-1.571251805895899079e+00,1.570796326792094133e+00
7.353646958748409013e+00,6.683518811370849910e+00,1.571315300864614795e+00,4.712388980384560888e+00
9.241423867864254071e-02,3.213768739725241907e+00,-1.570432062265882944e+00,7.853981633977840993e+00
2.345471862883699909e+00,8.587632407607218354e+00,4.711950873915300875e+00,1.570796326808483689e+00
-2.254017884770454838e+00,-1.799843840231919179e-01,7.848280146887387509e+00,1.570796326781578323e+00
4.899616510115590629e+00,-3.039999417656819580e-01,4.689776022614645434e+00,4.712388980375294523e+00
5.827281569723966825e+00,2.272139857278026032e+00,1.544368525689449489e+00,1.570796326794614783e+00
3.950395857052131365e+00,-5.012672399074301621e-01,1.655641049257058350e+00,4.712388980394308646e+00
4.625153422182822993e+00,4.315072899415302921e+00,1.956248431788522582e-11,-1.570796326798675091e+00
