9.956122197908647831e-01,4.424084009106411308e+00,6.111468829621974130e+00,1.037512664638602145e+00,3.393454810650763598e+00,1.846709815909248542e+00,7.302831412181598481e+00,1.927387800076093338e+00,4.504891203826806745e+00,1.735339729824232347e+00,4.303007924878328616e+00,5.309429065575793416e+00
3.551104368856146110e+00,5.981889456481244594e+00,1.886149055647480921e+00,5.276201948504807504e+00,7.711183914998700484e-01,9.376558405670289142e-02,4.059988330129752576e+00,2.250699728388504184e+00,2.839350699248053722e+00,3.677420427370554890e-04,1.616612582594707082e+00,1.201385938472051995e+00
3.026350231331523144e+00,4.897349847012930191e+00,3.196890600590035714e+00,2.393988193194888758e+00,3.143243306982308471e+00,3.081627224973405799e+00,3.358712712500357078e+00,6.777650945983907604e+00,1.298159995465588690e-01,4.292137042555264625e-01,5.175732762234666495e+00,6.217881516152139909e+00
3.734359153913656915e+00,1.693733167940119841e-02,-1.573684842222924929e-01,1.196328931132590423e+00,1.050491337762927024e+00,-3.834345446528824031e-01,1.708259396062709712e+00,1.853105898449920685e+00,4.006221871936580360e-04,6.561785954404620647e+00,5.075115408109335924e+00,4.768876194224433540e+00
1.030217510454987245e-03,5.316701989908306558e+00,4.293847445736341584e+00,5.093917380387866345e+00,6.204467979648157439e+00,5.002813285931988929e+00,3.218771998080938168e+00,2.321750501229373764e+00,-2.231350000394789479e-01,6.457475209341664524e+00,4.624336466959573677e+00,4.774299000206360333e+00
4.531910060919857486e+00,3.807885028813049466e+00,2.329180260813786596e+00,6.756873813686144814e+00,1.393583837135046855e+00,1.279919259795784733e-02,-1.264858342247736911e-01,3.126311630518036289e+00,6.408723980910876250e+00,1.567576567365521756e+00,3.466528700232664184e-02,2.869791073298345374e+00
3.812203646129455503e+00,2.353563840957945352e+00,3.969708753956465497e+00,-1.305312097030328911e-01,1.631041714053140357e+00,1.471571330454281235e+00,2.453461282852209990e+00,4.690856942369014071e+00,4.686106359838781543e+00,-1.865846350135910367e-02,3.145425532211840736e+00,1.428540568271173594e+00
4.943685795142838124e+00,2.404723791442589409e+00,1.507541641806038335e+00,3.608944776168669044e+00,2.593834346252329670e+00,6.564494989401871372e+00,5.315404368131466661e+00,1.345799002669944899e+00,2.513252561326679402e+00,-3.331960498946832331e-04,9.125904300367206901e-01,4.702781149769955427e+00
1.444967962623265878e+00,4.863201473787011508e+00,6.952009149468540095e+00,2.125984955281595479e+00,4.486105049870209527e+00,-3.842711869905085509e-01,6.508570110821400689e+00,4.025821998247752553e+00,1.968029699143892364e+00,4.232861500877498351e+00,1.403475000385306481e+00,1.539442448786455753e+00
-1.234787038844638252e+00,4.494055362692733091e+00,1.560912882849273320e+00,3.719215520982938283e+00,3.283524502749770146e+00,3.187336813594141560e+00,-2.996745910658823453e-01,4.217862539464033667e+00,2.558261338665883233e+00,3.564437429452814055e+00,9.108195401959201520e-01,2.227451397492278939e+00
