9.980475918855518103e-01,1.199999999999999956e+00
9.967111211735755205e-01,1.149999999999999911e+00
9.992944676778279245e-01,1.250000000000000000e+00
9.915745025500655174e-01,1.100000000000000089e+00
9.983554979553446174e-01,1.050000000000000044e+00
9.208412319421768188e-01,6.500000000000000222e-01
9.035149514675140381e-01,5.999999999999999778e-01
8.105937242507934570e-01,4.000000000000000222e-01
1.000000000000000000e+00,1.550000000000000044e+00
8.367444574832916260e-01,4.500000000000000111e-01
7.836600989103317261e-01,3.499999999999999778e-01
9.657793231308460236e-01,8.000000000000000444e-01
9.524027705192565918e-01,7.500000000000000000e-01
8.604767173528671265e-01,5.000000000000000000e-01
9.373271465301513672e-01,6.999999999999999556e-01
8.820387348532676697e-01,5.500000000000000444e-01
1.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+00,1.350000000000000089e+00
1.000000000000000000e+00,1.399999999999999911e+00
1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+00,1.600000000000000089e+00
9.915810525417327881e-01,9.499999999999999556e-01
9.962475902866572142e-01,1.000000000000000000e+00
9.998303383908933029e-01,1.449999999999999956e+00
7.230157554149627686e-01,2.500000000000000000e-01
1.000000000000000000e+00,1.649999999999999911e+00
9.991273232735693455e-01,1.300000000000000044e+00
6.954366564750671387e-01,2.000000000000000111e-01
9.997673235484398901e-01,1.949999999999999956e+00
1.000000000000000000e+00,1.699999999999999956e+00
1.000000000000000000e+00,1.850000000000000089e+00
1.000000000000000000e+00,1.899999999999999911e+00
1.000000000000000000e+00,1.800000000000000044e+00
6.635172963142395020e-01,1.499999999999999944e-01
5.956666767597198486e-01,1.000000000000000056e-01
9.760694317519664764e-01,8.499999999999999778e-01
1.000000000000000000e+00,1.750000000000000000e+00
9.852656750008463860e-01,9.000000000000000222e-01
4.547418355941772461e-01,5.000000000000000278e-02
7.546775043010711670e-01,2.999999999999999889e-01
